Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;
67;3;120;0;1;1;0;0;
68;3;109;5;1;0;0;0;
69;3;132;1;0;0;2;2;
70;3;120;1;0;0;1;0;
71;3;110;0;0;0;0;1;
72;3;115;0;0;1;1;0;
73;3;118;0;0;0;0;0;
74;3;128;1;0;0;0;0;
75;3;105;0;0;1;0;0;
76;3;140;1;0;0;0;0;
77;3;129;1;0;0;0;0;
78;3;143;0;0;0;0;1;
79;3;117;0;0;0;0;0;
80;3;95;0;0;2;0;0;
81;3;85;1;0;1;0;0;
82;3;79;0;0;0;0;0;
83;3;83;0;0;1;0;0;
84;3;78;0;0;1;0;0;
85;3;52;0;0;0;0;0;
86;3;72;0;0;0;0;0;
87;3;64;1;0;0;0;1;
88;3;70;0;0;0;1;0;
89;3;50;0;0;0;0;0;
90;3;68;0;0;0;0;0;
91;3;50;0;0;0;0;0;
92;3;72;0;0;0;0;0;
93;3;59;0;0;0;0;0;
94;3;45;0;1;0;0;0;
95;3;46;0;0;0;0;0;
96;3;36;0;0;0;0;0;
1;4;2;0;0;0;0;0;
2;4;2;0;0;0;0;0;
3;4;4;0;0;0;0;0;
4;4;0;1;0;0;0;0;
5;4;1;0;0;0;0;0;
6;4;2;0;0;0;0;0;
7;4;1;0;0;0;0;0;
8;4;0;1;0;0;0;0;
9;4;1;0;0;0;0;0;
10;4;2;0;0;0;0;0;
11;4;0;0;0;0;0;0;
12;4;0;0;0;0;0;0;
13;4;0;0;0;0;0;0;
14;4;0;0;0;0;0;0;
15;4;1;0;0;0;0;0;
16;4;0;0;0;0;0;0;
17;4;1;0;0;0;0;0;
18;4;0;0;0;0;0;0;
19;4;4;0;0;0;0;0;
20;4;2;1;0;0;0;0;
21;4;3;0;0;0;0;0;
22;4;8;0;0;0;0;0;
23;4;15;0;0;0;0;0;
24;4;25;1;0;0;0;0;
25;4;13;0;0;0;0;0;
26;4;18;0;0;0;0;0;
27;4;30;1;0;0;0;0;
28;4;33;1;0;0;1;0;
29;4;27;1;1;0;0;0;
30;4;34;1;0;0;0;1;
31;4;38;0;0;0;1;0;
32;4;28;1;0;0;0;0;
33;4;38;0;0;0;0;1;
34;4;32;1;0;0;0;0;
35;4;46;2;0;0;1;0;
36;4;35;2;0;0;0;0;
37;4;48;0;0;0;1;3;
38;4;40;3;0;0;0;1;
39;4;36;2;0;0;0;0;
40;4;28;3;0;0;0;0;
41;4;38;2;0;0;0;0;
42;4;31;2;0;0;0;0;
43;4;30;0;0;0;0;0;
44;4;34;1;0;0;1;0;
45;4;30;3;0;0;0;0;
46;4;45;1;1;0;0;1;
47;4;26;1;0;0;0;0;
48;4;33;1;0;0;0;0;
49;4;28;3;0;0;0;0;
50;4;44;0;0;0;0;0;
51;4;48;0;0;0;0;0;
52;4;33;1;0;0;2;0;
53;4;34;1;0;0;0;0;
54;4;34;1;0;0;1;1;
55;4;32;1;0;0;0;0;
56;4;29;0;0;0;0;0;
57;4;43;2;0;0;0;0;
58;4;33;1;0;0;2;0;
59;4;40;0;0;0;0;0;
60;4;39;2;1;0;1;0;
61;4;37;0;1;0;0;1;
62;4;31;0;0;0;0;0;
63;4;21;0;1;0;0;1;
64;4;27;0;0;0;0;0;
65;4;42;0;0;0;1;0;
66;4;34;0;0;0;0;0;
67;4;42;1;0;1;1;0;
68;4;33;0;0;0;0;0;
69;4;41;0;0;0;0;0;
70;4;33;0;0;0;0;0;
71;4;47;0;0;0;0;0;
72;4;41;0;0;0;0;0;
73;4;47;0;0;0;0;1;
74;4;44;1;0;1;0;1;
75;4;30;0;0;0;0;0;
76;4;27;0;0;0;1;1;
77;4;26;0;0;0;0;0;
78;4;28;0;0;0;0;0;
79;4;35;0;0;0;0;1;
80;4;30;0;0;0;0;2;
81;4;18;0;0;0;0;1;
82;4;19;0;0;0;0;0;
83;4;12;0;0;0;0;0;
84;4;8;0;0;0;0;0;
85;4;12;0;0;0;0;0;
86;4;17;0;0;0;0;0;
87;4;18;0;0;0;0;0;
88;4;16;0;0;0;0;0;
89;4;9;0;0;0;0;0;
90;4;19;0;0;0;0;0;
91;4;17;0;0;0;0;0;
92;4;16;0;0;0;0;0;
93;4;14;0;0;0;0;1;
94;4;7;0;0;0;0;0;
95;4;5;0;0;0;0;0;
96;4;8;0;0;0;0;0;
