Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
13;;NW;EIN;;;;;;13;13
14;;NW;EIN;;;;;;14;14
15;;NW;EIN;;;;;;15;15
16;;NW;EIN;;;;;;16;16
17;;NW;EIN;;;;;;17;17
18;;NW;EIN;;;;;;18;18
19;;NW;EIN;;;;;;19;19
20;;NW;EIN;;;;;;20;20
21;;NW;EIN;;;;;;21;21
22;;NW;EIN;;;;;;22;22
23;;NW;EIN;;;;;;23;23
24;;NW;EIN;;;;;;24;24
25;;NW;EIN;;;;;;25;25
26;;NW;EIN;;;;;;26;26
27;;NW;EIN;;;;;;27;27
28;;NW;EIN;;;;;;28;28
29;;NW;EIN;;;;;;29;29
30;;NW;EIN;;;;;;30;30
31;;NW;EIN;;;;;;31;31
32;;NW;EIN;;;;;;32;32
33;;NW;EIN;;;;;;33;33
34;;NW;EIN;;;;;;34;34
35;;NW;EIN;;;;;;35;35
36;;NW;EIN;;;;;;36;36
37;;NW;EIN;;;;;;37;37
38;;NW;EIN;;;;;;38;38
39;;NW;EIN;;;;;;39;39
40;;NW;EIN;;;;;;40;40
41;;NW;EIN;;;;;;41;41
42;;NW;EIN;;;;;;42;42
43;;NW;EIN;;;;;;43;43
44;;NW;EIN;;;;;;44;44
45;;NW;EIN;;;;;;45;45
46;;NW;EIN;;;;;;46;46
47;;NW;EIN;;;;;;47;47
48;;NW;EIN;;;;;;48;48
49;;NW;EIN;;;;;;49;49
50;;NW;EIN;;;;;;50;50
51;;NW;EIN;;;;;;51;51
52;;NW;EIN;;;;;;52;52
53;;NW;EIN;;;;;;53;53
54;;NW;EIN;;;;;;54;54
55;;NW;EIN;;;;;;55;55
56;;NW;EIN;;;;;;56;56
57;;NW;EIN;;;;;;57;57
58;;NW;EIN;;;;;;58;58
59;;NW;EIN;;;;;;59;59
60;;NW;EIN;;;;;;60;60
61;;NW;EIN;;;;;;61;61
62;;NW;EIN;;;;;;62;62
63;;NW;EIN;;;;;;63;63
64;;NW;EIN;;;;;;64;64
65;;NW;EIN;;;;;;65;65
66;;NW;EIN;;;;;;66;66
67;;NW;EIN;;;;;;67;67
68;;NW;EIN;;;;;;68;68
69;;NW;EIN;;;;;;69;69
70;;NW;EIN;;;;;;70;70
71;;NW;EIN;;;;;;71;71
72;;NW;EIN;;;;;;72;72
73;;NW;EIN;;;;;;73;73
74;;NW;EIN;;;;;;74;74
75;;NW;EIN;;;;;;75;75
76;;NW;EIN;;;;;;76;76
77;;NW;EIN;;;;;;77;77
78;;NW;EIN;;;;;;78;78
79;;NW;EIN;;;;;;79;79
80;;NW;EIN;;;;;;80;80
81;;NW;EIN;;;;;;81;81
82;;NW;EIN;;;;;;82;82
83;;NW;EIN;;;;;;83;83
84;;NW;EIN;;;;;;84;84
85;;NW;EIN;;;;;;85;85
86;;NW;EIN;;;;;;86;86
87;;NW;EIN;;;;;;87;87
88;;NW;EIN;;;;;;88;88
89;;NW;EIN;;;;;;89;89
90;;NW;EIN;;;;;;90;90
91;;NW;EIN;;;;;;91;91
92;;NW;EIN;;;;;;92;92
93;;NW;EIN;;;;;;93;93
94;;NW;EIN;;;;;;94;94
95;;NW;EIN;;;;;;95;95
96;;NW;EIN;;;;;;96;96
1;;SO;AUS;;;;;;1;1
2;;SO;AUS;;;;;;2;2
3;;SO;AUS;;;;;;3;3
4;;SO;AUS;;;;;;4;4
5;;SO;AUS;;;;;;5;5
6;;SO;AUS;;;;;;6;6
7;;SO;AUS;;;;;;7;7
8;;SO;AUS;;;;;;8;8
9;;SO;AUS;;;;;;9;9
10;;SO;AUS;;;;;;10;10
11;;SO;AUS;;;;;;11;11
12;;SO;AUS;;;;;;12;12
13;;SO;AUS;;;;;;13;13
14;;SO;AUS;;;;;;14;14
15;;SO;AUS;;;;;;15;15
16;;SO;AUS;;;;;;16;16
17;;SO;AUS;;;;;;17;17
18;;SO;AUS;;;;;;18;18
19;;SO;AUS;;;;;;19;19
20;;SO;AUS;;;;;;20;20
21;;SO;AUS;;;;;;21;21
22;;SO;AUS;;;;;;22;22
23;;SO;AUS;;;;;;23;23
24;;SO;AUS;;;;;;24;24
25;;SO;AUS;;;;;;25;25
26;;SO;AUS;;;;;;26;26
27;;SO;AUS;;;;;;27;27
28;;SO;AUS;;;;;;28;28
29;;SO;AUS;;;;;;29;29
30;;SO;AUS;;;;;;30;30
31;;SO;AUS;;;;;;31;31
32;;SO;AUS;;;;;;32;32
33;;SO;AUS;;;;;;33;33
34;;SO;AUS;;;;;;34;34
35;;SO;AUS;;;;;;35;35
36;;SO;AUS;;;;;;36;36
37;;SO;AUS;;;;;;37;37
38;;SO;AUS;;;;;;38;38
39;;SO;AUS;;;;;;39;39
40;;SO;AUS;;;;;;40;40
41;;SO;AUS;;;;;;41;41
42;;SO;AUS;;;;;;42;42
43;;SO;AUS;;;;;;43;43
44;;SO;AUS;;;;;;44;44
45;;SO;AUS;;;;;;45;45
46;;SO;AUS;;;;;;46;46
47;;SO;AUS;;;;;;47;47
48;;SO;AUS;;;;;;48;48
49;;SO;AUS;;;;;;49;49
50;;SO;AUS;;;;;;50;50
51;;SO;AUS;;;;;;51;51
52;;SO;AUS;;;;;;52;52
53;;SO;AUS;;;;;;53;53
54;;SO;AUS;;;;;;54;54
55;;SO;AUS;;;;;;55;55
56;;SO;AUS;;;;;;56;56
57;;SO;AUS;;;;;;57;57
58;;SO;AUS;;;;;;58;58
59;;SO;AUS;;;;;;59;59
60;;SO;AUS;;;;;;60;60
61;;SO;AUS;;;;;;61;61
62;;SO;AUS;;;;;;62;62
63;;SO;AUS;;;;;;63;63
64;;SO;AUS;;;;;;64;64
65;;SO;AUS;;;;;;65;65
66;;SO;AUS;;;;;;66;66
67;;SO;AUS;;;;;;67;67
68;;SO;AUS;;;;;;68;68
69;;SO;AUS;;;;;;69;69
70;;SO;AUS;;;;;;70;70
71;;SO;AUS;;;;;;71;71
72;;SO;AUS;;;;;;72;72
73;;SO;AUS;;;;;;73;73
74;;SO;AUS;;;;;;74;74
75;;SO;AUS;;;;;;75;75
76;;SO;AUS;;;;;;76;76
77;;SO;AUS;;;;;;77;77
78;;SO;AUS;;;;;;78;78
79;;SO;AUS;;;;;;79;79
80;;SO;AUS;;;;;;80;80
81;;SO;AUS;;;;;;81;81
82;;SO;AUS;;;;;;82;82
83;;SO;AUS;;;;;;83;83
84;;SO;AUS;;;;;;84;84
85;;SO;AUS;;;;;;85;85
86;;SO;AUS;;;;;;86;86
87;;SO;AUS;;;;;;87;87
88;;SO;AUS;;;;;;88;88
89;;SO;AUS;;;;;;89;89
90;;SO;AUS;;;;;;90;90
91;;SO;AUS;;;;;;91;91
92;;SO;AUS;;;;;;92;92
93;;SO;AUS;;;;;;93;93
94;;SO;AUS;;;;;;94;94
95;;SO;AUS;;;;;;95;95
96;;SO;AUS;;;;;;96;96
1;;NW;AUS;;;;;;1;1
2;;NW;AUS;;;;;;2;2
3;;NW;AUS;;;;;;3;3
4;;NW;AUS;;;;;;4;4
5;;NW;AUS;;;;;;5;5
6;;NW;AUS;;;;;;6;6
7;;NW;AUS;;;;;;7;7
8;;NW;AUS;;;;;;8;8
9;;NW;AUS;;;;;;9;9
10;;NW;AUS;;;;;;10;10
11;;NW;AUS;;;;;;11;11
12;;NW;AUS;;;;;;12;12
13;;NW;AUS;;;;;;13;13
14;;NW;AUS;;;;;;14;14
15;;NW;AUS;;;;;;15;15
16;;NW;AUS;;;;;;16;16
17;;NW;AUS;;;;;;17;17
18;;NW;AUS;;;;;;18;18
19;;NW;AUS;;;;;;19;19
20;;NW;AUS;;;;;;20;20
21;;NW;AUS;;;;;;21;21
22;;NW;AUS;;;;;;22;22
23;;NW;AUS;;;;;;23;23
24;;NW;AUS;;;;;;24;24
25;;NW;AUS;;;;;;25;25
26;;NW;AUS;;;;;;26;26
27;;NW;AUS;;;;;;27;27
28;;NW;AUS;;;;;;28;28
29;;NW;AUS;;;;;;29;29
30;;NW;AUS;;;;;;30;30
31;;NW;AUS;;;;;;31;31
32;;NW;AUS;;;;;;32;32
33;;NW;AUS;;;;;;33;33
34;;NW;AUS;;;;;;34;34
35;;NW;AUS;;;;;;35;35
36;;NW;AUS;;;;;;36;36
37;;NW;AUS;;;;;;37;37
38;;NW;AUS;;;;;;38;38
39;;NW;AUS;;;;;;39;39
40;;NW;AUS;;;;;;40;40
41;;NW;AUS;;;;;;41;41
42;;NW;AUS;;;;;;42;42
43;;NW;AUS;;;;;;43;43
44;;NW;AUS;;;;;;44;44
45;;NW;AUS;;;;;;45;45
46;;NW;AUS;;;;;;46;46
47;;NW;AUS;;;;;;47;47
48;;NW;AUS;;;;;;48;48
49;;NW;AUS;;;;;;49;49
50;;NW;AUS;;;;;;50;50
51;;NW;AUS;;;;;;51;51
52;;NW;AUS;;;;;;52;52
53;;NW;AUS;;;;;;53;53
54;;NW;AUS;;;;;;54;54
55;;NW;AUS;;;;;;55;55
56;;NW;AUS;;;;;;56;56
57;;NW;AUS;;;;;;57;57
58;;NW;AUS;;;;;;58;58
59;;NW;AUS;;;;;;59;59
60;;NW;AUS;;;;;;60;60
61;;NW;AUS;;;;;;61;61
62;;NW;AUS;;;;;;62;62
63;;NW;AUS;;;;;;63;63
64;;NW;AUS;;;;;;64;64
65;;NW;AUS;;;;;;65;65
66;;NW;AUS;;;;;;66;66
67;;NW;AUS;;;;;;67;67
68;;NW;AUS;;;;;;68;68
69;;NW;AUS;;;;;;69;69
70;;NW;AUS;;;;;;70;70
71;;NW;AUS;;;;;;71;71
72;;NW;AUS;;;;;;72;72
73;;NW;AUS;;;;;;73;73
74;;NW;AUS;;;;;;74;74
75;;NW;AUS;;;;;;75;75
76;;NW;AUS;;;;;;76;76
77;;NW;AUS;;;;;;77;77
78;;NW;AUS;;;;;;78;78
79;;NW;AUS;;;;;;79;79
80;;NW;AUS;;;;;;80;80
81;;NW;AUS;;;;;;81;81
82;;NW;AUS;;;;;;82;82
83;;NW;AUS;;;;;;83;83
84;;NW;AUS;;;;;;84;84
85;;NW;AUS;;;;;;85;85
86;;NW;AUS;;;;;;86;86
87;;NW;AUS;;;;;;87;87
88;;NW;AUS;;;;;;88;88
89;;NW;AUS;;;;;;89;89
90;;NW;AUS;;;;;;90;90
91;;NW;AUS;;;;;;91;91
92;;NW;AUS;;;;;;92;92
93;;NW;AUS;;;;;;93;93
94;;NW;AUS;;;;;;94;94
95;;NW;AUS;;;;;;95;95
96;;NW;AUS;;;;;;96;96
