Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
55;;S;EIN;;;;;;55;55
56;;S;EIN;;;;;;56;56
57;;S;EIN;;;;;;57;57
58;;S;EIN;;;;;;58;58
59;;S;EIN;;;;;;59;59
60;;S;EIN;;;;;;60;60
61;;S;EIN;;;;;;61;61
62;;S;EIN;;;;;;62;62
63;;S;EIN;;;;;;63;63
64;;S;EIN;;;;;;64;64
65;;S;EIN;;;;;;65;65
66;;S;EIN;;;;;;66;66
67;;S;EIN;;;;;;67;67
68;;S;EIN;;;;;;68;68
69;;S;EIN;;;;;;69;69
70;;S;EIN;;;;;;70;70
71;;S;EIN;;;;;;71;71
72;;S;EIN;;;;;;72;72
73;;S;EIN;;;;;;73;73
74;;S;EIN;;;;;;74;74
75;;S;EIN;;;;;;75;75
76;;S;EIN;;;;;;76;76
77;;S;EIN;;;;;;77;77
78;;S;EIN;;;;;;78;78
79;;S;EIN;;;;;;79;79
80;;S;EIN;;;;;;80;80
81;;S;EIN;;;;;;81;81
82;;S;EIN;;;;;;82;82
83;;S;EIN;;;;;;83;83
84;;S;EIN;;;;;;84;84
85;;S;EIN;;;;;;85;85
86;;S;EIN;;;;;;86;86
87;;S;EIN;;;;;;87;87
88;;S;EIN;;;;;;88;88
89;;S;EIN;;;;;;89;89
90;;S;EIN;;;;;;90;90
91;;S;EIN;;;;;;91;91
92;;S;EIN;;;;;;92;92
93;;S;EIN;;;;;;93;93
94;;S;EIN;;;;;;94;94
95;;S;EIN;;;;;;95;95
96;;S;EIN;;;;;;96;96
1;;N;AUS;;;;;;1;1
2;;N;AUS;;;;;;2;2
3;;N;AUS;;;;;;3;3
4;;N;AUS;;;;;;4;4
5;;N;AUS;;;;;;5;5
6;;N;AUS;;;;;;6;6
7;;N;AUS;;;;;;7;7
8;;N;AUS;;;;;;8;8
9;;N;AUS;;;;;;9;9
10;;N;AUS;;;;;;10;10
11;;N;AUS;;;;;;11;11
12;;N;AUS;;;;;;12;12
13;;N;AUS;;;;;;13;13
14;;N;AUS;;;;;;14;14
15;;N;AUS;;;;;;15;15
16;;N;AUS;;;;;;16;16
17;;N;AUS;;;;;;17;17
18;;N;AUS;;;;;;18;18
19;;N;AUS;;;;;;19;19
20;;N;AUS;;;;;;20;20
21;;N;AUS;;;;;;21;21
22;;N;AUS;;;;;;22;22
23;;N;AUS;;;;;;23;23
24;;N;AUS;;;;;;24;24
25;;N;AUS;;;;;;25;25
26;;N;AUS;;;;;;26;26
27;;N;AUS;;;;;;27;27
28;;N;AUS;;;;;;28;28
29;;N;AUS;;;;;;29;29
30;;N;AUS;;;;;;30;30
31;;N;AUS;;;;;;31;31
32;;N;AUS;;;;;;32;32
33;;N;AUS;;;;;;33;33
34;;N;AUS;;;;;;34;34
35;;N;AUS;;;;;;35;35
36;;N;AUS;;;;;;36;36
37;;N;AUS;;;;;;37;37
38;;N;AUS;;;;;;38;38
39;;N;AUS;;;;;;39;39
40;;N;AUS;;;;;;40;40
41;;N;AUS;;;;;;41;41
42;;N;AUS;;;;;;42;42
43;;N;AUS;;;;;;43;43
44;;N;AUS;;;;;;44;44
45;;N;AUS;;;;;;45;45
46;;N;AUS;;;;;;46;46
47;;N;AUS;;;;;;47;47
48;;N;AUS;;;;;;48;48
49;;N;AUS;;;;;;49;49
50;;N;AUS;;;;;;50;50
51;;N;AUS;;;;;;51;51
52;;N;AUS;;;;;;52;52
53;;N;AUS;;;;;;53;53
54;;N;AUS;;;;;;54;54
55;;N;AUS;;;;;;55;55
56;;N;AUS;;;;;;56;56
57;;N;AUS;;;;;;57;57
58;;N;AUS;;;;;;58;58
59;;N;AUS;;;;;;59;59
60;;N;AUS;;;;;;60;60
61;;N;AUS;;;;;;61;61
62;;N;AUS;;;;;;62;62
63;;N;AUS;;;;;;63;63
64;;N;AUS;;;;;;64;64
65;;N;AUS;;;;;;65;65
66;;N;AUS;;;;;;66;66
67;;N;AUS;;;;;;67;67
68;;N;AUS;;;;;;68;68
69;;N;AUS;;;;;;69;69
70;;N;AUS;;;;;;70;70
71;;N;AUS;;;;;;71;71
72;;N;AUS;;;;;;72;72
73;;N;AUS;;;;;;73;73
74;;N;AUS;;;;;;74;74
75;;N;AUS;;;;;;75;75
76;;N;AUS;;;;;;76;76
77;;N;AUS;;;;;;77;77
78;;N;AUS;;;;;;78;78
79;;N;AUS;;;;;;79;79
80;;N;AUS;;;;;;80;80
81;;N;AUS;;;;;;81;81
82;;N;AUS;;;;;;82;82
83;;N;AUS;;;;;;83;83
84;;N;AUS;;;;;;84;84
85;;N;AUS;;;;;;85;85
86;;N;AUS;;;;;;86;86
87;;N;AUS;;;;;;87;87
88;;N;AUS;;;;;;88;88
89;;N;AUS;;;;;;89;89
90;;N;AUS;;;;;;90;90
91;;N;AUS;;;;;;91;91
92;;N;AUS;;;;;;92;92
93;;N;AUS;;;;;;93;93
94;;N;AUS;;;;;;94;94
95;;N;AUS;;;;;;95;95
96;;N;AUS;;;;;;96;96
1;;S;AUS;;;;;;1;1
2;;S;AUS;;;;;;2;2
3;;S;AUS;;;;;;3;3
4;;S;AUS;;;;;;4;4
5;;S;AUS;;;;;;5;5
6;;S;AUS;;;;;;6;6
7;;S;AUS;;;;;;7;7
8;;S;AUS;;;;;;8;8
9;;S;AUS;;;;;;9;9
10;;S;AUS;;;;;;10;10
11;;S;AUS;;;;;;11;11
12;;S;AUS;;;;;;12;12
13;;S;AUS;;;;;;13;13
14;;S;AUS;;;;;;14;14
15;;S;AUS;;;;;;15;15
16;;S;AUS;;;;;;16;16
17;;S;AUS;;;;;;17;17
18;;S;AUS;;;;;;18;18
19;;S;AUS;;;;;;19;19
20;;S;AUS;;;;;;20;20
21;;S;AUS;;;;;;21;21
22;;S;AUS;;;;;;22;22
23;;S;AUS;;;;;;23;23
24;;S;AUS;;;;;;24;24
25;;S;AUS;;;;;;25;25
26;;S;AUS;;;;;;26;26
27;;S;AUS;;;;;;27;27
28;;S;AUS;;;;;;28;28
29;;S;AUS;;;;;;29;29
30;;S;AUS;;;;;;30;30
31;;S;AUS;;;;;;31;31
32;;S;AUS;;;;;;32;32
33;;S;AUS;;;;;;33;33
34;;S;AUS;;;;;;34;34
35;;S;AUS;;;;;;35;35
36;;S;AUS;;;;;;36;36
37;;S;AUS;;;;;;37;37
38;;S;AUS;;;;;;38;38
39;;S;AUS;;;;;;39;39
40;;S;AUS;;;;;;40;40
41;;S;AUS;;;;;;41;41
42;;S;AUS;;;;;;42;42
43;;S;AUS;;;;;;43;43
44;;S;AUS;;;;;;44;44
45;;S;AUS;;;;;;45;45
46;;S;AUS;;;;;;46;46
47;;S;AUS;;;;;;47;47
48;;S;AUS;;;;;;48;48
49;;S;AUS;;;;;;49;49
50;;S;AUS;;;;;;50;50
51;;S;AUS;;;;;;51;51
52;;S;AUS;;;;;;52;52
53;;S;AUS;;;;;;53;53
54;;S;AUS;;;;;;54;54
55;;S;AUS;;;;;;55;55
56;;S;AUS;;;;;;56;56
57;;S;AUS;;;;;;57;57
58;;S;AUS;;;;;;58;58
59;;S;AUS;;;;;;59;59
60;;S;AUS;;;;;;60;60
61;;S;AUS;;;;;;61;61
62;;S;AUS;;;;;;62;62
63;;S;AUS;;;;;;63;63
64;;S;AUS;;;;;;64;64
65;;S;AUS;;;;;;65;65
66;;S;AUS;;;;;;66;66
67;;S;AUS;;;;;;67;67
68;;S;AUS;;;;;;68;68
69;;S;AUS;;;;;;69;69
70;;S;AUS;;;;;;70;70
71;;S;AUS;;;;;;71;71
72;;S;AUS;;;;;;72;72
73;;S;AUS;;;;;;73;73
74;;S;AUS;;;;;;74;74
75;;S;AUS;;;;;;75;75
76;;S;AUS;;;;;;76;76
77;;S;AUS;;;;;;77;77
78;;S;AUS;;;;;;78;78
79;;S;AUS;;;;;;79;79
80;;S;AUS;;;;;;80;80
81;;S;AUS;;;;;;81;81
82;;S;AUS;;;;;;82;82
83;;S;AUS;;;;;;83;83
84;;S;AUS;;;;;;84;84
85;;S;AUS;;;;;;85;85
86;;S;AUS;;;;;;86;86
87;;S;AUS;;;;;;87;87
88;;S;AUS;;;;;;88;88
89;;S;AUS;;;;;;89;89
90;;S;AUS;;;;;;90;90
91;;S;AUS;;;;;;91;91
92;;S;AUS;;;;;;92;92
93;;S;AUS;;;;;;93;93
94;;S;AUS;;;;;;94;94
95;;S;AUS;;;;;;95;95
96;;S;AUS;;;;;;96;96
