Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
72;;NO;EIN;;;;;;72;72
73;;NO;EIN;;;;;;73;73
74;;NO;EIN;;;;;;74;74
75;;NO;EIN;;;;;;75;75
76;;NO;EIN;;;;;;76;76
77;;NO;EIN;;;;;;77;77
78;;NO;EIN;;;;;;78;78
79;;NO;EIN;;;;;;79;79
80;;NO;EIN;;;;;;80;80
81;;NO;EIN;;;;;;81;81
82;;NO;EIN;;;;;;82;82
83;;NO;EIN;;;;;;83;83
84;;NO;EIN;;;;;;84;84
85;;NO;EIN;;;;;;85;85
86;;NO;EIN;;;;;;86;86
87;;NO;EIN;;;;;;87;87
88;;NO;EIN;;;;;;88;88
89;;NO;EIN;;;;;;89;89
90;;NO;EIN;;;;;;90;90
91;;NO;EIN;;;;;;91;91
92;;NO;EIN;;;;;;92;92
93;;NO;EIN;;;;;;93;93
94;;NO;EIN;;;;;;94;94
95;;NO;EIN;;;;;;95;95
96;;NO;EIN;;;;;;96;96
1;;SW;EIN;;;;;;1;1
2;;SW;EIN;;;;;;2;2
3;;SW;EIN;;;;;;3;3
4;;SW;EIN;;;;;;4;4
5;;SW;EIN;;;;;;5;5
6;;SW;EIN;;;;;;6;6
7;;SW;EIN;;;;;;7;7
8;;SW;EIN;;;;;;8;8
9;;SW;EIN;;;;;;9;9
10;;SW;EIN;;;;;;10;10
11;;SW;EIN;;;;;;11;11
12;;SW;EIN;;;;;;12;12
13;;SW;EIN;;;;;;13;13
14;;SW;EIN;;;;;;14;14
15;;SW;EIN;;;;;;15;15
16;;SW;EIN;;;;;;16;16
17;;SW;EIN;;;;;;17;17
18;;SW;EIN;;;;;;18;18
19;;SW;EIN;;;;;;19;19
20;;SW;EIN;;;;;;20;20
21;;SW;EIN;;;;;;21;21
22;;SW;EIN;;;;;;22;22
23;;SW;EIN;;;;;;23;23
24;;SW;EIN;;;;;;24;24
25;;SW;EIN;;;;;;25;25
26;;SW;EIN;;;;;;26;26
27;;SW;EIN;;;;;;27;27
28;;SW;EIN;;;;;;28;28
29;;SW;EIN;;;;;;29;29
30;;SW;EIN;;;;;;30;30
31;;SW;EIN;;;;;;31;31
32;;SW;EIN;;;;;;32;32
33;;SW;EIN;;;;;;33;33
34;;SW;EIN;;;;;;34;34
35;;SW;EIN;;;;;;35;35
36;;SW;EIN;;;;;;36;36
37;;SW;EIN;;;;;;37;37
38;;SW;EIN;;;;;;38;38
39;;SW;EIN;;;;;;39;39
40;;SW;EIN;;;;;;40;40
41;;SW;EIN;;;;;;41;41
42;;SW;EIN;;;;;;42;42
43;;SW;EIN;;;;;;43;43
44;;SW;EIN;;;;;;44;44
45;;SW;EIN;;;;;;45;45
46;;SW;EIN;;;;;;46;46
47;;SW;EIN;;;;;;47;47
48;;SW;EIN;;;;;;48;48
49;;SW;EIN;;;;;;49;49
50;;SW;EIN;;;;;;50;50
51;;SW;EIN;;;;;;51;51
52;;SW;EIN;;;;;;52;52
53;;SW;EIN;;;;;;53;53
54;;SW;EIN;;;;;;54;54
55;;SW;EIN;;;;;;55;55
56;;SW;EIN;;;;;;56;56
57;;SW;EIN;;;;;;57;57
58;;SW;EIN;;;;;;58;58
59;;SW;EIN;;;;;;59;59
60;;SW;EIN;;;;;;60;60
61;;SW;EIN;;;;;;61;61
62;;SW;EIN;;;;;;62;62
63;;SW;EIN;;;;;;63;63
64;;SW;EIN;;;;;;64;64
65;;SW;EIN;;;;;;65;65
66;;SW;EIN;;;;;;66;66
67;;SW;EIN;;;;;;67;67
68;;SW;EIN;;;;;;68;68
69;;SW;EIN;;;;;;69;69
70;;SW;EIN;;;;;;70;70
71;;SW;EIN;;;;;;71;71
72;;SW;EIN;;;;;;72;72
73;;SW;EIN;;;;;;73;73
74;;SW;EIN;;;;;;74;74
75;;SW;EIN;;;;;;75;75
76;;SW;EIN;;;;;;76;76
77;;SW;EIN;;;;;;77;77
78;;SW;EIN;;;;;;78;78
79;;SW;EIN;;;;;;79;79
80;;SW;EIN;;;;;;80;80
81;;SW;EIN;;;;;;81;81
82;;SW;EIN;;;;;;82;82
83;;SW;EIN;;;;;;83;83
84;;SW;EIN;;;;;;84;84
85;;SW;EIN;;;;;;85;85
86;;SW;EIN;;;;;;86;86
87;;SW;EIN;;;;;;87;87
88;;SW;EIN;;;;;;88;88
89;;SW;EIN;;;;;;89;89
90;;SW;EIN;;;;;;90;90
91;;SW;EIN;;;;;;91;91
92;;SW;EIN;;;;;;92;92
93;;SW;EIN;;;;;;93;93
94;;SW;EIN;;;;;;94;94
95;;SW;EIN;;;;;;95;95
96;;SW;EIN;;;;;;96;96
1;;NO;AUS;;;;;;1;1
2;;NO;AUS;;;;;;2;2
3;;NO;AUS;;;;;;3;3
4;;NO;AUS;;;;;;4;4
5;;NO;AUS;;;;;;5;5
6;;NO;AUS;;;;;;6;6
7;;NO;AUS;;;;;;7;7
8;;NO;AUS;;;;;;8;8
9;;NO;AUS;;;;;;9;9
10;;NO;AUS;;;;;;10;10
11;;NO;AUS;;;;;;11;11
12;;NO;AUS;;;;;;12;12
13;;NO;AUS;;;;;;13;13
14;;NO;AUS;;;;;;14;14
15;;NO;AUS;;;;;;15;15
16;;NO;AUS;;;;;;16;16
17;;NO;AUS;;;;;;17;17
18;;NO;AUS;;;;;;18;18
19;;NO;AUS;;;;;;19;19
20;;NO;AUS;;;;;;20;20
21;;NO;AUS;;;;;;21;21
22;;NO;AUS;;;;;;22;22
23;;NO;AUS;;;;;;23;23
24;;NO;AUS;;;;;;24;24
25;;NO;AUS;;;;;;25;25
26;;NO;AUS;;;;;;26;26
27;;NO;AUS;;;;;;27;27
28;;NO;AUS;;;;;;28;28
29;;NO;AUS;;;;;;29;29
30;;NO;AUS;;;;;;30;30
31;;NO;AUS;;;;;;31;31
32;;NO;AUS;;;;;;32;32
33;;NO;AUS;;;;;;33;33
34;;NO;AUS;;;;;;34;34
35;;NO;AUS;;;;;;35;35
36;;NO;AUS;;;;;;36;36
37;;NO;AUS;;;;;;37;37
38;;NO;AUS;;;;;;38;38
39;;NO;AUS;;;;;;39;39
40;;NO;AUS;;;;;;40;40
41;;NO;AUS;;;;;;41;41
42;;NO;AUS;;;;;;42;42
43;;NO;AUS;;;;;;43;43
44;;NO;AUS;;;;;;44;44
45;;NO;AUS;;;;;;45;45
46;;NO;AUS;;;;;;46;46
47;;NO;AUS;;;;;;47;47
48;;NO;AUS;;;;;;48;48
49;;NO;AUS;;;;;;49;49
50;;NO;AUS;;;;;;50;50
51;;NO;AUS;;;;;;51;51
52;;NO;AUS;;;;;;52;52
53;;NO;AUS;;;;;;53;53
54;;NO;AUS;;;;;;54;54
55;;NO;AUS;;;;;;55;55
56;;NO;AUS;;;;;;56;56
57;;NO;AUS;;;;;;57;57
58;;NO;AUS;;;;;;58;58
59;;NO;AUS;;;;;;59;59
60;;NO;AUS;;;;;;60;60
61;;NO;AUS;;;;;;61;61
62;;NO;AUS;;;;;;62;62
63;;NO;AUS;;;;;;63;63
64;;NO;AUS;;;;;;64;64
65;;NO;AUS;;;;;;65;65
66;;NO;AUS;;;;;;66;66
67;;NO;AUS;;;;;;67;67
68;;NO;AUS;;;;;;68;68
69;;NO;AUS;;;;;;69;69
70;;NO;AUS;;;;;;70;70
71;;NO;AUS;;;;;;71;71
72;;NO;AUS;;;;;;72;72
73;;NO;AUS;;;;;;73;73
74;;NO;AUS;;;;;;74;74
75;;NO;AUS;;;;;;75;75
76;;NO;AUS;;;;;;76;76
77;;NO;AUS;;;;;;77;77
78;;NO;AUS;;;;;;78;78
79;;NO;AUS;;;;;;79;79
80;;NO;AUS;;;;;;80;80
81;;NO;AUS;;;;;;81;81
82;;NO;AUS;;;;;;82;82
83;;NO;AUS;;;;;;83;83
84;;NO;AUS;;;;;;84;84
85;;NO;AUS;;;;;;85;85
86;;NO;AUS;;;;;;86;86
87;;NO;AUS;;;;;;87;87
88;;NO;AUS;;;;;;88;88
89;;NO;AUS;;;;;;89;89
90;;NO;AUS;;;;;;90;90
91;;NO;AUS;;;;;;91;91
92;;NO;AUS;;;;;;92;92
93;;NO;AUS;;;;;;93;93
94;;NO;AUS;;;;;;94;94
95;;NO;AUS;;;;;;95;95
96;;NO;AUS;;;;;;96;96
1;;SW;AUS;;;;;;1;1
2;;SW;AUS;;;;;;2;2
3;;SW;AUS;;;;;;3;3
4;;SW;AUS;;;;;;4;4
5;;SW;AUS;;;;;;5;5
6;;SW;AUS;;;;;;6;6
7;;SW;AUS;;;;;;7;7
8;;SW;AUS;;;;;;8;8
9;;SW;AUS;;;;;;9;9
10;;SW;AUS;;;;;;10;10
11;;SW;AUS;;;;;;11;11
12;;SW;AUS;;;;;;12;12
13;;SW;AUS;;;;;;13;13
14;;SW;AUS;;;;;;14;14
15;;SW;AUS;;;;;;15;15
16;;SW;AUS;;;;;;16;16
17;;SW;AUS;;;;;;17;17
18;;SW;AUS;;;;;;18;18
19;;SW;AUS;;;;;;19;19
20;;SW;AUS;;;;;;20;20
21;;SW;AUS;;;;;;21;21
22;;SW;AUS;;;;;;22;22
23;;SW;AUS;;;;;;23;23
24;;SW;AUS;;;;;;24;24
25;;SW;AUS;;;;;;25;25
26;;SW;AUS;;;;;;26;26
27;;SW;AUS;;;;;;27;27
28;;SW;AUS;;;;;;28;28
29;;SW;AUS;;;;;;29;29
30;;SW;AUS;;;;;;30;30
31;;SW;AUS;;;;;;31;31
32;;SW;AUS;;;;;;32;32
33;;SW;AUS;;;;;;33;33
34;;SW;AUS;;;;;;34;34
35;;SW;AUS;;;;;;35;35
36;;SW;AUS;;;;;;36;36
37;;SW;AUS;;;;;;37;37
38;;SW;AUS;;;;;;38;38
39;;SW;AUS;;;;;;39;39
40;;SW;AUS;;;;;;40;40
41;;SW;AUS;;;;;;41;41
42;;SW;AUS;;;;;;42;42
43;;SW;AUS;;;;;;43;43
44;;SW;AUS;;;;;;44;44
45;;SW;AUS;;;;;;45;45
46;;SW;AUS;;;;;;46;46
47;;SW;AUS;;;;;;47;47
48;;SW;AUS;;;;;;48;48
49;;SW;AUS;;;;;;49;49
50;;SW;AUS;;;;;;50;50
51;;SW;AUS;;;;;;51;51
52;;SW;AUS;;;;;;52;52
53;;SW;AUS;;;;;;53;53
54;;SW;AUS;;;;;;54;54
55;;SW;AUS;;;;;;55;55
56;;SW;AUS;;;;;;56;56
57;;SW;AUS;;;;;;57;57
58;;SW;AUS;;;;;;58;58
59;;SW;AUS;;;;;;59;59
60;;SW;AUS;;;;;;60;60
61;;SW;AUS;;;;;;61;61
62;;SW;AUS;;;;;;62;62
63;;SW;AUS;;;;;;63;63
64;;SW;AUS;;;;;;64;64
65;;SW;AUS;;;;;;65;65
66;;SW;AUS;;;;;;66;66
67;;SW;AUS;;;;;;67;67
68;;SW;AUS;;;;;;68;68
69;;SW;AUS;;;;;;69;69
70;;SW;AUS;;;;;;70;70
71;;SW;AUS;;;;;;71;71
72;;SW;AUS;;;;;;72;72
73;;SW;AUS;;;;;;73;73
74;;SW;AUS;;;;;;74;74
75;;SW;AUS;;;;;;75;75
76;;SW;AUS;;;;;;76;76
77;;SW;AUS;;;;;;77;77
78;;SW;AUS;;;;;;78;78
79;;SW;AUS;;;;;;79;79
80;;SW;AUS;;;;;;80;80
81;;SW;AUS;;;;;;81;81
82;;SW;AUS;;;;;;82;82
83;;SW;AUS;;;;;;83;83
84;;SW;AUS;;;;;;84;84
85;;SW;AUS;;;;;;85;85
86;;SW;AUS;;;;;;86;86
87;;SW;AUS;;;;;;87;87
88;;SW;AUS;;;;;;88;88
89;;SW;AUS;;;;;;89;89
90;;SW;AUS;;;;;;90;90
91;;SW;AUS;;;;;;91;91
92;;SW;AUS;;;;;;92;92
93;;SW;AUS;;;;;;93;93
94;;SW;AUS;;;;;;94;94
95;;SW;AUS;;;;;;95;95
96;;SW;AUS;;;;;;96;96
