Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
46;;W;EIN;;;;;;46;46
47;;W;EIN;;;;;;47;47
48;;W;EIN;;;;;;48;48
49;;W;EIN;;;;;;49;49
50;;W;EIN;;;;;;50;50
51;;W;EIN;;;;;;51;51
52;;W;EIN;;;;;;52;52
53;;W;EIN;;;;;;53;53
54;;W;EIN;;;;;;54;54
55;;W;EIN;;;;;;55;55
56;;W;EIN;;;;;;56;56
57;;W;EIN;;;;;;57;57
58;;W;EIN;;;;;;58;58
59;;W;EIN;;;;;;59;59
60;;W;EIN;;;;;;60;60
61;;W;EIN;;;;;;61;61
62;;W;EIN;;;;;;62;62
63;;W;EIN;;;;;;63;63
64;;W;EIN;;;;;;64;64
65;;W;EIN;;;;;;65;65
66;;W;EIN;;;;;;66;66
67;;W;EIN;;;;;;67;67
68;;W;EIN;;;;;;68;68
69;;W;EIN;;;;;;69;69
70;;W;EIN;;;;;;70;70
71;;W;EIN;;;;;;71;71
72;;W;EIN;;;;;;72;72
73;;W;EIN;;;;;;73;73
74;;W;EIN;;;;;;74;74
75;;W;EIN;;;;;;75;75
76;;W;EIN;;;;;;76;76
25;;O;AUS;;;;;;25;25
26;;O;AUS;;;;;;26;26
27;;O;AUS;;;;;;27;27
28;;O;AUS;;;;;;28;28
29;;O;AUS;;;;;;29;29
30;;O;AUS;;;;;;30;30
31;;O;AUS;;;;;;31;31
32;;O;AUS;;;;;;32;32
33;;O;AUS;;;;;;33;33
34;;O;AUS;;;;;;34;34
35;;O;AUS;;;;;;35;35
36;;O;AUS;;;;;;36;36
37;;O;AUS;;;;;;37;37
38;;O;AUS;;;;;;38;38
39;;O;AUS;;;;;;39;39
40;;O;AUS;;;;;;40;40
41;;O;AUS;;;;;;41;41
42;;O;AUS;;;;;;42;42
43;;O;AUS;;;;;;43;43
44;;O;AUS;;;;;;44;44
45;;O;AUS;;;;;;45;45
46;;O;AUS;;;;;;46;46
47;;O;AUS;;;;;;47;47
48;;O;AUS;;;;;;48;48
49;;O;AUS;;;;;;49;49
50;;O;AUS;;;;;;50;50
51;;O;AUS;;;;;;51;51
52;;O;AUS;;;;;;52;52
53;;O;AUS;;;;;;53;53
54;;O;AUS;;;;;;54;54
55;;O;AUS;;;;;;55;55
56;;O;AUS;;;;;;56;56
57;;O;AUS;;;;;;57;57
58;;O;AUS;;;;;;58;58
59;;O;AUS;;;;;;59;59
60;;O;AUS;;;;;;60;60
61;;O;AUS;;;;;;61;61
62;;O;AUS;;;;;;62;62
63;;O;AUS;;;;;;63;63
64;;O;AUS;;;;;;64;64
65;;O;AUS;;;;;;65;65
66;;O;AUS;;;;;;66;66
67;;O;AUS;;;;;;67;67
68;;O;AUS;;;;;;68;68
69;;O;AUS;;;;;;69;69
70;;O;AUS;;;;;;70;70
71;;O;AUS;;;;;;71;71
72;;O;AUS;;;;;;72;72
73;;O;AUS;;;;;;73;73
74;;O;AUS;;;;;;74;74
75;;O;AUS;;;;;;75;75
76;;O;AUS;;;;;;76;76
25;;W;AUS;;;;;;25;25
26;;W;AUS;;;;;;26;26
27;;W;AUS;;;;;;27;27
28;;W;AUS;;;;;;28;28
29;;W;AUS;;;;;;29;29
30;;W;AUS;;;;;;30;30
31;;W;AUS;;;;;;31;31
32;;W;AUS;;;;;;32;32
33;;W;AUS;;;;;;33;33
34;;W;AUS;;;;;;34;34
35;;W;AUS;;;;;;35;35
36;;W;AUS;;;;;;36;36
37;;W;AUS;;;;;;37;37
38;;W;AUS;;;;;;38;38
39;;W;AUS;;;;;;39;39
40;;W;AUS;;;;;;40;40
41;;W;AUS;;;;;;41;41
42;;W;AUS;;;;;;42;42
43;;W;AUS;;;;;;43;43
44;;W;AUS;;;;;;44;44
45;;W;AUS;;;;;;45;45
46;;W;AUS;;;;;;46;46
47;;W;AUS;;;;;;47;47
48;;W;AUS;;;;;;48;48
49;;W;AUS;;;;;;49;49
50;;W;AUS;;;;;;50;50
51;;W;AUS;;;;;;51;51
52;;W;AUS;;;;;;52;52
53;;W;AUS;;;;;;53;53
54;;W;AUS;;;;;;54;54
55;;W;AUS;;;;;;55;55
56;;W;AUS;;;;;;56;56
57;;W;AUS;;;;;;57;57
58;;W;AUS;;;;;;58;58
59;;W;AUS;;;;;;59;59
60;;W;AUS;;;;;;60;60
61;;W;AUS;;;;;;61;61
62;;W;AUS;;;;;;62;62
63;;W;AUS;;;;;;63;63
64;;W;AUS;;;;;;64;64
65;;W;AUS;;;;;;65;65
66;;W;AUS;;;;;;66;66
67;;W;AUS;;;;;;67;67
68;;W;AUS;;;;;;68;68
69;;W;AUS;;;;;;69;69
70;;W;AUS;;;;;;70;70
71;;W;AUS;;;;;;71;71
72;;W;AUS;;;;;;72;72
73;;W;AUS;;;;;;73;73
74;;W;AUS;;;;;;74;74
75;;W;AUS;;;;;;75;75
76;;W;AUS;;;;;;76;76
